timestamp,rms,laplacian_variance,snapshot,condition
10/22/2003 12:06,0.1246,17135.69,0,Degraded
10/22/2003 12:09,0.1238,17513.42,1,Failing
10/22/2003 12:14,0.1252,16906.17,2,Degraded
10/22/2003 12:19,0.1252,17301.70,3,Failing
10/22/2003 12:24,0.1256,16301.90,4,Healthy
10/22/2003 12:29,0.1260,17830.26,5,Failing
10/22/2003 12:34,0.1255,17107.87,6,Degraded
10/22/2003 12:39,0.1251,16611.83,7,Degraded
10/22/2003 12:44,0.1254,16259.91,8,Healthy
10/22/2003 12:49,0.1248,17215.62,9,Failing
10/22/2003 12:54,0.1251,16488.23,10,Healthy
10/22/2003 12:59,0.1248,17376.88,11,Failing
10/22/2003 13:04,0.1241,16957.42,12,Degraded
10/22/2003 13:09,0.1244,17412.61,13,Failing
10/22/2003 13:14,0.1247,16858.27,14,Degraded
10/22/2003 13:19,0.1285,16903.34,15,Degraded
10/22/2003 13:24,0.1266,17797.09,16,Failing
10/22/2003 13:29,0.1273,16205.70,17,Healthy
10/22/2003 13:34,0.1259,16726.52,18,Degraded
10/22/2003 13:39,0.1264,17190.76,19,Degraded
10/22/2003 13:44,0.1264,17965.10,20,Failing
10/22/2003 13:49,0.1272,17278.02,21,Failing
10/22/2003 13:54,0.1263,17308.49,22,Failing
10/22/2003 13:59,0.1278,16264.40,23,Healthy
10/22/2003 14:04,0.1256,16611.43,24,Degraded
10/22/2003 14:09,0.1258,16783.76,25,Degraded
10/22/2003 14:14,0.1268,17244.41,26,Failing
10/22/2003 14:19,0.1259,17721.56,27,Failing
10/22/2003 14:24,0.1277,16106.15,28,Healthy
10/22/2003 14:29,0.1274,16444.34,29,Healthy
10/22/2003 14:34,0.1258,18092.63,30,Failing
10/22/2003 14:39,0.1265,16555.11,31,Degraded
10/22/2003 14:44,0.1270,17198.30,32,Degraded
10/22/2003 14:49,0.1262,16459.58,33,Healthy
10/22/2003 14:54,0.1263,16628.00,34,Degraded
10/22/2003 14:59,0.1258,17637.37,35,Failing
10/22/2003 15:04,0.1257,17676.46,36,Failing
10/22/2003 15:09,0.1253,18112.77,37,Failing
10/22/2003 15:14,0.1259,17455.05,38,Failing
10/22/2003 15:19,0.1253,16960.45,39,Degraded
10/22/2003 15:24,0.1254,16521.85,40,Degraded
10/22/2003 15:29,0.1254,16594.77,41,Degraded
10/22/2003 15:37,0.1255,16635.14,42,Degraded
10/22/2003 15:44,0.1248,17146.19,43,Degraded
10/22/2003 15:54,0.1263,16697.45,44,Degraded
10/22/2003 16:04,0.1262,16388.94,45,Healthy
10/22/2003 16:14,0.1255,16615.79,46,Degraded
10/22/2003 16:24,0.1257,16322.51,47,Healthy
10/22/2003 16:34,0.1259,17645.84,48,Failing
10/22/2003 16:44,0.1253,16954.29,49,Degraded
10/22/2003 16:54,0.1275,17013.01,50,Degraded
10/22/2003 17:04,0.1271,16470.47,51,Healthy
10/22/2003 17:14,0.1264,17576.43,52,Failing
10/22/2003 17:19,0.1245,16973.95,53,Degraded
10/22/2003 17:24,0.1270,17034.55,54,Degraded
10/22/2003 17:34,0.1291,16162.60,55,Healthy
10/22/2003 17:44,0.1254,16469.20,56,Healthy
10/22/2003 17:54,0.1250,16347.73,57,Healthy
10/22/2003 18:04,0.1246,16393.81,58,Healthy
10/22/2003 18:14,0.1239,17033.06,59,Degraded
10/22/2003 18:24,0.1276,16398.68,60,Healthy
10/22/2003 18:34,0.1256,16760.18,61,Degraded
10/22/2003 18:44,0.1260,16830.99,62,Degraded
10/22/2003 18:54,0.1262,17199.05,63,Degraded
10/22/2003 19:04,0.1304,16800.00,64,Degraded
10/22/2003 19:14,0.1321,16310.94,65,Healthy
10/22/2003 19:24,0.1286,16773.93,66,Degraded
10/22/2003 19:34,0.1305,17798.16,67,Failing
10/22/2003 19:44,0.1304,16718.54,68,Degraded
10/22/2003 19:54,0.1296,16704.49,69,Degraded
10/22/2003 20:04,0.1306,16926.67,70,Degraded
10/22/2003 20:14,0.1298,16616.30,71,Degraded
10/22/2003 20:24,0.1300,17112.78,72,Degraded
10/22/2003 20:34,0.1297,15929.66,73,Healthy
10/22/2003 20:44,0.1297,17625.79,74,Failing
10/22/2003 20:54,0.1318,15764.77,75,Healthy
10/22/2003 21:04,0.1295,17534.20,76,Failing
10/22/2003 21:14,0.1294,16697.53,77,Degraded
10/22/2003 21:24,0.1293,17302.84,78,Failing
10/22/2003 21:34,0.1306,17293.28,79,Failing
10/22/2003 21:44,0.1310,17133.15,80,Degraded
10/22/2003 21:54,0.1299,16778.48,81,Degraded
10/22/2003 22:04,0.1313,15684.58,82,Healthy
10/22/2003 22:14,0.1307,17460.86,83,Failing
10/22/2003 22:24,0.1303,17133.00,84,Degraded
10/22/2003 22:34,0.1305,16718.12,85,Degraded
10/22/2003 22:44,0.1305,17510.71,86,Failing
10/22/2003 22:54,0.1306,16911.94,87,Degraded
10/22/2003 23:04,0.1302,16863.02,88,Degraded
10/22/2003 23:14,0.1308,16206.46,89,Healthy
10/22/2003 23:24,0.1323,17338.56,90,Failing
10/22/2003 23:34,0.1305,17228.17,91,Failing
10/22/2003 23:44,0.1307,16305.85,92,Healthy
10/22/2003 23:54,0.1310,17108.60,93,Degraded
10/23/2003 0:04,0.1317,17283.61,94,Failing
10/23/2003 0:14,0.1319,16338.80,95,Healthy
10/23/2003 0:24,0.1292,16919.67,96,Degraded
10/23/2003 0:34,0.1302,15860.34,97,Healthy
10/23/2003 0:44,0.1312,17060.65,98,Degraded
10/23/2003 0:54,0.1327,17214.54,99,Failing
